CGPA,Class_X_Marks,Class_XII_Marks,Annual_Income_LPA,Placed,Salary_Package_LPA
6.87,78.42,79.01,4.61,1,4.4
9.75,93.76,67.69,5.68,0,
8.66,84.5,79.09,1.67,1,4.37
7.99,69.23,85.3,0.89,1,3.6
5.78,66.02,81.85,2.35,0,
5.78,79.92,78.09,0.95,0,
5.29,61.8,84.8,8.15,1,3.64
9.33,93.31,86.03,1.82,1,3.7
8.01,86.79,88.59,1.22,1,4.27
8.54,70.31,79.78,1.89,1,4.76
5.1,57.87,69.99,0.55,0,
9.85,88.54,73.76,0.75,1,7.32
9.16,73.85,86.48,4.25,1,5.15
6.06,87.38,62.2,0.96,1,2.72
5.91,59.06,76.42,0.7,0,
5.92,69.01,67.28,2.5,0,
6.52,75.05,72.34,4.2,1,3.62
7.62,75.47,87.34,2.89,1,3.61
7.16,70.5,74.29,3.61,1,4.64
6.46,81.23,72.56,0.89,0,
8.06,64.32,55.68,0.52,0,
5.7,73.58,80.96,5.41,1,2.92
6.46,76.2,79.75,1.26,0,
6.83,80.14,97.96,1.33,1,3.86
7.28,82.12,68.31,4.71,1,5.48
8.93,63.75,74.63,2.54,1,5.21
6.0,59.66,74.99,2.34,1,3.73
7.57,87.78,90.93,9.2,0,
7.96,78.32,70.86,0.97,1,4.59
5.23,67.52,75.35,3.42,0,
8.04,90.51,79.29,1.7,0,
5.85,76.16,74.24,2.02,0,
5.33,86.79,66.64,5.53,1,3.23
9.74,75.68,74.33,2.44,1,3.87
9.83,95.61,84.88,2.5,1,5.29
9.04,92.55,59.68,3.84,0,
6.52,72.51,73.6,1.22,0,
5.49,84.72,63.6,0.83,1,3.23
8.42,81.45,86.34,0.71,1,5.41
7.2,88.69,53.72,0.34,0,
5.61,65.35,65.29,8.43,1,2.0
7.48,81.86,76.53,0.67,0,
5.17,85.58,90.79,1.36,1,4.68
9.55,57.41,71.21,1.3,1,4.49
6.29,63.17,65.34,2.08,1,3.21
8.31,54.61,94.57,3.13,1,4.18
6.56,72.31,54.62,3.24,1,5.02
7.6,82.18,45.61,1.02,1,5.22
7.73,90.02,77.28,1.42,1,6.14
5.92,75.74,65.98,2.04,1,3.26
9.85,91.29,59.75,1.33,1,5.29
8.88,61.2,80.5,5.89,0,
9.7,57.97,74.93,2.41,1,5.99
9.47,74.44,65.23,2.93,0,
7.99,78.84,56.64,2.77,1,4.32
9.61,74.67,82.47,4.16,1,4.14
5.44,54.33,79.8,1.88,0,
5.98,74.11,70.81,0.58,1,2.77
5.23,61.96,94.16,2.24,1,2.77
6.63,81.7,59.16,0.97,1,3.23
6.94,78.67,53.69,1.07,1,3.26
6.36,65.6,63.7,2.6,0,
9.14,69.86,71.45,4.38,0,
6.78,64.41,74.92,1.66,1,3.88
6.4,74.37,69.11,2.08,1,4.57
7.71,84.55,76.22,6.35,1,3.88
5.7,65.14,56.98,1.97,1,2.53
9.01,80.04,89.33,13.05,1,4.71
